,ingredients,explanation,reference
1256,magnesium-aluminum-silicate,"['ExplainedMagnesium Aluminum Silicate is a type of silica. It comes from naturally occuring minerals such as silicate ores and clay.Magnesium aluminum silicate is used for enhancing texture and as an absorbent. Due to its large molecular size, it is unable to be absorbed into the skin.Like other types of silica, this ingredient can be used to thicken a product. As an absorbent, it may be used to absorb extra water or help prevent clumping.']","['https://journals.sagepub.com/doi/pdf/10.1177/1091581815613513', 'https://pubchem.ncbi.nlm.nih.gov/compound/3084116', 'https://www.cosmeticsinfo.org/ingredients/magnesium-aluminum-silicate/', 'https://www.sciencedirect.com/science/article/abs/pii/S0169131706001451']"
1257,dibutyl-ethylhexanoyl-glutamide,"[""ExplainedWe don't have a description for Dibutyl Ethylhexanoyl Glutamide.""]",[]
1258,polyglyceryl-10-myristate,"[""ExplainedPolyglyceryl-10 Myristate isn't fungal acne safe.""]",[]
1259,peg-10-dimethicone,['ExplainedPeg-10 Dimethicone is a type of silicone.'],[]
1260,zinc-stearate,"['ExplainedZinc Stearate is the metal salt ofstearic acid. It is a white solid used to bind, thicken, and lubricate products.This ingredient is common in powder makeup, where it helps keep the powder together.Zinc Stearate is hydrophobic and repels water.']","['https://pubchem.ncbi.nlm.nih.gov/compound/ZINC-stearate', 'https://www.cir-safety.org/sites/default/files/zincst032018FR.pdf', 'https://www.cosmeticsinfo.org/ingredients/zinc-stearate/']"
1261,agar,['ExplainedAgar is the vegan substitute for animal-gelatin. It helps thicken and improve the texture of cosmetics.Agar is an antioxidant. Antioxidants help fight free-radicals. Free-radicals are molecules that may damage your skin cells.Agar is created from cell-walls of red algae.'],"['https://www.mdpi.com/2079-9284/5/4/68', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6950024/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8894001/']"
1262,capryloyl-glycerin-sebacic-acid-copolymer,"[""ExplainedWe don't have a description for Capryloyl Glycerin/Sebacic Acid Copolymer.""]",[]
1263,caesalpinia-spinosa-gum,"[""ExplainedWe don't have a description for Caesalpinia Spinosa Gum.""]",[]
1264,sparassis-crispa-extract,"[""ExplainedWe don't have a description for Sparassis Crispa Extract.""]",[]
1265,hydrolyzed-algin,"[""ExplainedWe don't have a description for Hydrolyzed Algin.""]",[]
1266,hydrogenated-lanolin,"[""ExplainedWe don't have a description for Hydrogenated Lanolin.""]",[]
1267,itraconazole,"[""ExplainedWe don't have a description for Itraconazole.""]",[]
1268,lanolin-alcohol,['ExplainedA complex combination of organic alcohols obtained by the hydrolysis of lanolin and is classified as a fatty alcohol.Fatty Alcohols are most often used as an emollient or to thicken a product. They are usually derived from natural fats and oils and therefore do not have the same drying or irritating effect as traditional alcohols.'],[]
1269,nymphaea-alba-root-extract,"[""ExplainedWe don't have a description for Nymphaea Alba Root Extract.""]",[]
1270,rehmannia-glutinosa-root-extract,"[""ExplainedWe don't have a description for Rehmannia Glutinosa Root Extract.""]",[]
1271,hydrogenated-olive-oil-unsaponifiables,"[""ExplainedHydrogenated Olive Oil Unsaponifiables is an oil and isn't fungal acne safe.""]",[]
1272,myrciaria-dubia-fruit-extract,"[""ExplainedWe don't have a description for Myrciaria Dubia Fruit Extract.""]",[]
1273,aluminum-zirconium-tetrachlorohydrex-gly,"[""ExplainedWe don't have a description for Aluminum Zirconium Tetrachlorohydrex Gly.""]",[]
1274,peg-12-dimethicone,['ExplainedPeg-12 Dimethicone is a type of silicone.'],[]
1275,lauroyl-lysine,"[""ExplainedWe don't have a description for Lauroyl Lysine.""]",[]
1276,cardiospermum-halicacabum-flower-leaf-vine-extract,"['ExplainedCardiospermum halicacabum extract is more commonly known as Balloon Vine Extract.Balloon Vine Extract helps soothe skin and is an antioxidant. It also contains many fatty acids, such aspalmitic,oleic, andstearicacids. While these fatty acids help soften skin, they may not be fungal-friendly.Antioxidants help fight free-radicals. Free-radicals are molecules that may damage your skin cells, such as pollution.Balloon Vine has been used in traditional medicine in many Asian cultures.']","['https://www.researchgate.net/publication/285170668_Review_of_beneficial_and_remedial_aspects_of_Cardiospermum_halicacabum_L', 'https://www.sciencedirect.com/science/article/pii/S2225411016301651']"
1277,ribes-nigrum-fruit-extract,['ExplainedRibes Nigrum Fruit Extract is from the black currant fruit.Black currant berries containVitamin Eand fatty acids. It can help soften the skin.'],['https://pubmed.ncbi.nlm.nih.gov/19928765/']
1278,nelumbium-speciosum-flower-extract,"[""ExplainedWe don't have a description for Nelumbium Speciosum Flower Extract.""]",[]
1279,epilobium-angustifolium-flower-leaf-stem-extract,"[""ExplainedWe don't have a description for Epilobium Angustifolium Flower/Leaf/Stem Extract.""]",[]
1280,triticum-vulgare-sprout-extract,"[""ExplainedWe don't have a description for Triticum Vulgare Sprout Extract.""]",[]
1281,peg-7-glyceryl-cocoate,"['ExplainedPeg-7 Glyceryl Cocoate is created frompolyethylene glycoland fatty acids fromcoconut oil.It is a synthetic polymer with emulsifying and cleansing properties.As an emulsifier, Peg-7 Glyceryl Cocoate prevents ingredients such as oils and water from separating. It also helps rinse away oils, dirt, and pollutants from skin.Peg-7 Glyceryl Cocoate may not be fungal acne safe. It can also dry out skin.']",[]
1282,leontopodium-alpinum-callus-culture-extract,['ExplainedLeontopodium Alpinum Callus Culture Extract is an antioxidant.'],[]
1283,sodium-coco-sulfate,['ExplainedSodium Coco-Sulfate is a type of sulfate.'],[]
1284,r-salmon-oligopeptide-1,['ExplainedR-Salmon Oligopeptide-1 is an antioxidant and is a peptide.'],[]
1285,quartz,"['ExplainedQuartz is a hard mineral made ofsilica. In cosmetics, quartz helps exfoliate the skin.In cosmetic tools, it is usually a polished stone-like material.']",[]
1286,caryodendron-orinocense-seed-oil,"[""ExplainedCaryodendron Orinocense Seed Oil is an oil and isn't fungal acne safe.""]",[]
1287,chamomilla-recutita-flower-oil,['ExplainedChamomilla Recutita Flower Oil comes from the chamomile flower (like the tea you drink).Essential oils from chamomile have been found to improve wound healing due to its antimicrobial properties.Chamomile oil can help soothe and hydrate your skin.'],['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2833428/']
1288,morinda-citrifolia-extract,"[""ExplainedWe don't have a description for Morinda Citrifolia Extract.""]",[]
1289,peucedanum-graveolens-extract,"[""ExplainedWe don't have a description for Peucedanum Graveolens Extract.""]",[]
1290,viscum-album-leaf-extract,"[""ExplainedWe don't have a description for Viscum Album Leaf Extract.""]",[]
1291,sucrose-polystearate,"[""ExplainedWe don't have a description for Sucrose Polystearate.""]",[]
1292,ascorbyl-stearate,"['ExplainedAscorbyl Stearate is a form of Vitamin C and is an antioxidant. It can help to reduce redness, improve skin texture, reduce the effects of aging, and reduce the visibility of dark spots.']",[]
1293,polyquaternium-37,"[""ExplainedWe don't have a description for Polyquaternium-37.""]",[]
1294,fructan,"[""ExplainedWe don't have a description for Fructan.""]",[]
1295,ellagic-acid,['ExplainedEllagic Acid is a type of polyphenol. Polyphenols are a group of compounds that have potent antioxidant activity. Antioxidants protect our skin against damage and may help reduce the signs of aging.Studies show ellagic acid may protect our skin against UVB damage by interrupting the melanin-creation process.'],"['https://onlinelibrary.wiley.com/doi/full/10.1111/j.1600-0625.2009.01044.x', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3288507/']"
1296,backhousia-citriodora-leaf-extract,"[""ExplainedWe don't have a description for Backhousia Citriodora Leaf Extract.""]",[]
1297,hydroxyproline,"[""ExplainedWe don't have a description for Hydroxyproline.""]",[]
1298,berberis-vulgaris-bark-extract,"['ExplainedBerberis Vulgaris Bark Extract is from the Barberry plant.The main component of this plant is berberine. Berberine is a natural compound with antioxidant properties. Antioxidants help fight free-radicals. Free-radicals are molecules that may damage your skin cells, such as pollution.']",['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4678494/']
1299,vitis-vinifera-fruit-water,"['ExplainedVitis Vinifera Fruit Water comes from the grapes.Grapes contain many potent antioxidants such asVitamin E,Vitamin C, proanthocyanidins, polyphenols, flavonoids, and anthocyanins. Proanthocyanidin has been shown to help even out skin tone.']",['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992143/']
1300,althaea-officinalis-leaf-extract,"['ExplainedAlthaea Officinalis Leaf Extract is derived from the Marsh Mallow plant.It is indigenous to Europe, Western Asia, and North Africa.']",[]
1301,viola-mandshurica-flower-extract,['ExplainedViola Mandshurica Flower Extract is an antioxidant.'],[]
1302,goat-milk-extract,"[""ExplainedWe don't have a description for Goat Milk Extract.""]",[]
1303,brassica-oleracea-italica-seed-oil,"['ExplainedBrassica Oleracea Italica Seed Oil is from the broccoli plant.Broccoli is rich in antioxidants. Antioxidants help fight free-radical molecules. These unstable molecules may damage your skin cells. By helping to stabilize them, antioxidants may help with anti-aging. Beta-carotene, vitamin A, and vitamin C are three types of antioxidants found in broccoli.Broccoli is also rich in fatty acids such as oleic and linoleic acids. This makes it an effective moisturizer. Its high Omega 3, Omega 6, and Omega 9 content make it an effective moisturizer.']",['https://www.sciencedirect.com/science/article/pii/S0308814615009139']
1304,illite,['ExplainedIllite is an exfoliant.'],[]
1305,emblica-officinalis-fruit-extract,"[""ExplainedWe don't have a description for Emblica Officinalis Fruit Extract.""]",[]
1306,candelilla-jojoba-rice-bran-polyglyceryl-3-esters,"[""ExplainedCandelilla/Jojoba/Rice Bran Polyglyceryl-3 Esters isn't fungal acne safe.""]",[]
1307,pinus-pinaster-leaf-extract,"[""ExplainedWe don't have a description for Pinus Pinaster Leaf Extract.""]",[]
1308,aluminum-starch-octenylsuccinate,"[""ExplainedWe don't have a description for Aluminum Starch Octenylsuccinate.""]",[]
1309,schinziophyton-rautanenii-kernel-oil,"[""ExplainedSchinziophyton Rautanenii Kernel Oil is an oil and isn't fungal acne safe.""]",[]
1310,physalis-alkekengi-calyx-extract,"[""ExplainedWe don't have a description for Physalis Alkekengi Calyx Extract.""]",[]
1311,inulin-lauryl-carbamate,"[""ExplainedWe don't have a description for Inulin Lauryl Carbamate.""]",[]
1312,acmella-oleracea-extract,"[""ExplainedWe don't have a description for Acmella Oleracea Extract.""]",[]
1313,polyglyceryl-10-laurate,"['ExplainedPolyglyceryl-10 Laurate is an ester oflauric acidand Polyglycerin-10.Polyglyceryl-10 Laurate is a cleansing agent and emulsifier. It helps gather dirt, oil, and other pollutants to be rinsed away. As an emulsifier, it helps prevent ingredients from separating, such as oil and water.Polyglyceryl-10 Laurate may not be fungal acne safe.']","['https://www.cir-safety.org/sites/default/files/polyglyceryl%20fatty%20acid.pdf', 'https://www.researchgate.net/profile/Estelle-Loing/publication/268880719_Development_of_a_new_resistant_liposome_coated_with_polysaccharide_film_for_cosmetic_application/links/56cb165008ae1106370b6ee3/Development-of-a-new-resistant-liposome-coated-with-polysaccharide-film-for-cosmetic-application.pdf']"
1314,emu-oil,"[""ExplainedEmu Oil is an oil and isn't fungal acne safe.""]",[]
1315,isobutane,"[""ExplainedWe don't have a description for Isobutane.""]",[]
1316,cordyceps-sinensis-extract,"['ExplainedCordyceps Sinensis Extract comes from a fungus that lives on caterpillars and insect larvae. It can also be made synthetically.Cordyceps Sinensis Extract is an antioxidant and may help with reducing the signs of aging.This fungus is mainly found in the mountainous regions of the Himalayas. It has been used in traditional Tibetan, Nepalese, and Chinese medicine to help with fatigue.']","['https://pubmed.ncbi.nlm.nih.gov/18803231/', 'https://pubmed.ncbi.nlm.nih.gov/21061463/', 'https://pubmed.ncbi.nlm.nih.gov/22536281/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4564082/']"
1317,methyl-niacinamide-chloride,['ExplainedMethyl Niacinamide Chloride can be good for be good for sensitive skin. It can help to reduce the effects of aging.'],[]
1318,vitex-agnus-castus-extract-f378b3e5-3047-41c0-a57f-bc877a18e985,['ExplainedVitex Agnus-Castus Extract comes from the chasteberry.'],[]
1319,mentha-spicata-flower-leaf-stem-oil,['ExplainedMentha Spicata Flower/Leaf/Stem Oil is an oil.'],[]
1320,isobutylparaben,['ExplainedIsobutylparaben is a paraben. It can be bad for dry skin.'],[]
1321,rosin-acrylate,"[""ExplainedWe don't have a description for Rosin Acrylate.""]",[]
1322,arachidic-acid,"['ExplainedArachidic Acid is a fatty acid naturally found in peanut oil and cocoa butter. Like other fatty acids, arachidic acid moisturizes the skin.Synthetically created arachidic acid comes fromlinoleic acid.This ingredient may not be safe for Malassezia Folliculitis, or fungal acne.']","['https://pubchem.ncbi.nlm.nih.gov/compound/10467', 'https://www.cosmeticsinfo.org/ingredients/arachidonic-acid/', 'https://www.frontiersin.org/articles/10.3389/fphar.2020.00785/full', 'https://www.sciencedirect.com/science/article/abs/pii/S0278691507001676']"
1323,diospyros-kaki-leaf-extract,"['ExplainedDiospyros Kaki Leaf Extract comes from the leaves of the Persimmon. It is native to China, India, and Korea. Persimmon leaves have anti-inflammatory and antioxidant properties.The leaves of the persimmon tree contain triterpenoids, tannins, and ursolic acids. These components are help sooth the skin due to their antioxidant activity.']","['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6049757/', 'https://www.sciencedirect.com/science/article/pii/S0102695X17301011']"
1324,distearyldimonium-chloride,"[""ExplainedWe don't have a description for Distearyldimonium Chloride.""]",[]
1325,mentha-piperita-oil,['ExplainedMentha Piperita Oil is the volatile oil obtained from the whole plant of the Peppermint plant.It can be used to add a fresh scent to products.Peppermint oil may cause skin sensitivity and redness due to itsmentholcontent. Menthol also has a cooling effect (like your toothpaste).'],['https://pubmed.ncbi.nlm.nih.gov/11766133/']
1326,tamarindus-indica-seed-gum,"['ExplainedTamarindus Indica Seed Gum is from the seeds of Tamarindus indica. It is more commonly known as tamarind.Tamarindus Indica Seed Gum is used as a texture enhancer, emulsifier, and skin conditioner.When added to products, Tamarindus Indica Seed Gum helps thicken and create a gel-like texture.Tamarindus Indica Seed Gum is a humectant. It helps draw moisture from the air to your skin. This keeps your skin hydrated.Emulsion stabilizing ingredients help stabilize a product. They work by stabilizing two non-mixable ingredients. An example would be oil and water.']",[]
